,t1_win
t1p2_totalDamageTaken,-0.10939567960987702
t1p2_totalHeal,0.1116841570763684
t1p2_totalMinionsKilled,0.08714923818712962
t1p2_totalTimeCrowdControlDealt,0.04371897436626404
t1p2_trueDamageDealt,0.04925813184722845
t1p2_trueDamageDealtToChampions,0.05520021141784358
t1p2_trueDamageTaken,-0.027430191891670837
t1p2_visionScore,0.13061772604661345
t1p2_wardsKilled,0.07211238538382081
t1p2_wardsPlaced,0.06662783368947442
t1p3_assists,0.36478599885794993
t1p3_ban_champId,0.0074707833683830185
t1p3_champId,-0.010360645532380601
t1p3_champLevel,0.22495160593029206
t1p3_damageDealtToObjectives,0.36558887658681205
t1p3_damageDealtToTurrets,0.4168795958445957
t1p3_damageSelfMitigated,-0.006076131027209206
t1p3_deaths,-0.41717899580028733
t1p3_goldEarned,0.26320398836374165
t1p3_item0,0.045480318550459614
t1p3_item1,0.04975360861938465
t1p3_item2,0.0569934209604692
t1p3_item3,0.09019329772903034
t1p3_item4,0.10567997947589802
t1p3_item5,0.11136018257540063
t1p3_item6,0.029232544303547322
t1p3_kills,0.3438923394926615
t1p3_lp,0.05759195574355456
t1p3_magicDamageDealt,0.08275916518988141
t1p3_magicDamageDealtToChampions,0.10009734636626233
t1p3_magicalDamageTaken,-0.11988252034199773
t1p3_min10_creeps,0.10155548629143371
t1p3_min10_damagetaken,-0.07263504842933513
t1p3_min10_gold,0.2407649074570603
t1p3_min10_xp,0.1845491539856263
t1p3_min15_creeps,0.07616787830014148
t1p3_min15_damagetaken,-0.07677302019175682
t1p3_min15_gold,0.1987968266191204
t1p3_min15_xp,0.14282986338453263
t1p3_neutralMinionsKilled,0.17379803530807775
t1p3_perk0,0.0041411622806747355
t1p3_perk1,-0.004310738848606082
t1p3_perk2,-0.016379802622815923
t1p3_perk3,-0.0017262529144723123
t1p3_perk4,-0.0023885027289968956
t1p3_perk5,-0.006413604398362977
t1p3_perkPrimaryStyle,0.006996488944424434
t1p3_perkSubStyle,-0.0003326742430372649
t1p3_physicalDamageDealt,0.06250408410652498
t1p3_physicalDamageDealtToChampions,0.07555448718485856
t1p3_physicalDamageTaken,-0.05119217788026818
t1p3_spellId1,0.0032127753358393812
t1p3_spellId2,0.008114690875652059
t1p3_timeCCingOthers,0.03457580954736027
t1p3_totalDamageDealt,0.1518095766685178
t1p3_totalDamageDealtToChampions,0.16550377882920855
t1p3_totalDamageTaken,-0.08895453728954171
t1p3_totalHeal,0.1389885549747403
t1p3_totalMinionsKilled,0.07494263122206324
t1p3_totalTimeCrowdControlDealt,0.03272037520335359
t1p3_trueDamageDealt,0.03170489818091877
t1p3_trueDamageDealtToChampions,0.029758274480682703
t1p3_trueDamageTaken,-0.012078581850607902
t1p3_visionScore,0.1169057008605832
t1p3_wardsKilled,0.06209409104480407
t1p3_wardsPlaced,0.03374658884183459
